username,password,first_name,last_name,email,phone_number
user1,password123,First1,Last1,user1@example.com,1234567891
user2,password123,First2,Last2,user2@example.com,1234567892
user3,password123,First3,Last3,user3@example.com,1234567893
user4,password123,First4,Last4,user4@example.com,1234567894
user5,password123,First5,Last5,user5@example.com,1234567895
user6,password123,First6,Last6,user6@example.com,1234567896
user7,password123,First7,Last7,user7@example.com,1234567897
user8,password123,First8,Last8,user8@example.com,1234567898
user9,password123,First9,Last9,user9@example.com,1234567899
user10,password123,First10,Last10,user10@example.com,12345678910
